index,title,genres
154,Rise of the Guardians,"Fantasy,Animation,Family"
155,Fun with Dick and Jane,Comedy
156,The Last Samurai,"Drama,Action,War,History"
157,Exodus: Gods and Kings,"Adventure,Drama,Action"
158,Star Trek,"Science Fiction,Action,Adventure"
159,Spider-Man,"Fantasy,Action"
160,How to Train Your Dragon 2,"Fantasy,Action,Adventure,Animation,Comedy,Family"
161,Gods of Egypt,Fantasy
162,Stealth,Action
163,Watchmen,"Action,Mystery,Science Fiction"
164,Lethal Weapon 4,"Action,Adventure,Comedy,Crime,Thriller"
165,Hulk,"Drama,Action,Science Fiction"
166,G.I. Joe: Retaliation,"Adventure,Action,Science Fiction,Thriller"
167,Sahara,"Action,Adventure,Comedy,Drama,Mystery"
168,Final Fantasy: The Spirits Within,"Adventure,Action,Animation,Fantasy,Science Fiction,Thriller"
169,Captain America: The First Avenger,"Action,Adventure,Science Fiction"
170,The World Is Not Enough,"Adventure,Action,Thriller"
171,Master and Commander: The Far Side of the World,Adventure
172,The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Fantasy,Drama,Romance"
173,Happy Feet Two,"Animation,Comedy,Family"
174,The Incredible Hulk,"Science Fiction,Action,Adventure"
175,The BFG,"Adventure,Family,Fantasy"
176,The Revenant,"Western,Drama,Adventure,Thriller"
177,Turbo,"Animation,Family"
178,Rango,"Animation,Comedy,Family,Western,Adventure"
179,Penguins of Madagascar,"Family,Animation,Adventure,Comedy"
180,The Bourne Ultimatum,"Action,Drama,Mystery,Thriller"
181,Kung Fu Panda,"Adventure,Animation,Family,Comedy"
182,Ant-Man,"Science Fiction,Action,Adventure"
183,The Hunger Games: Catching Fire,"Adventure,Action,Science Fiction"
184,Home,"Fantasy,Comedy,Animation,Science Fiction,Family"
185,War of the Worlds,"Adventure,Thriller,Science Fiction"
186,Bad Boys II,"Adventure,Action,Comedy,Thriller,Crime"
187,Puss in Boots,"Action,Adventure,Animation,Family,Fantasy"
188,Salt,"Action,Mystery,Thriller"
189,Noah,"Drama,Adventure"
190,The Adventures of Tintin,"Adventure,Animation,Mystery"
191,Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy,Family"
192,Australia,Drama
193,After Earth,"Science Fiction,Action,Adventure"
194,Dinosaur,"Animation,Family"
195,Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Fantasy,Family"
196,Megamind,"Animation,Action,Comedy,Family,Science Fiction"
197,Harry Potter and the Philosopher's Stone,"Adventure,Fantasy,Family"
198,R.I.P.D.,"Fantasy,Action,Comedy,Crime"
199,Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure,Fantasy,Action"
200,The Hunger Games: Mockingjay - Part 1,"Science Fiction,Adventure,Thriller"
201,The Da Vinci Code,"Thriller,Mystery"
202,Rio 2,"Animation,Adventure,Comedy,Family"
203,X2,"Adventure,Action,Science Fiction,Thriller"
204,Fast Five,"Action,Thriller,Crime"
205,Sherlock Holmes: A Game of Shadows,"Adventure,Action,Crime,Mystery"
206,Clash of the Titans,"Adventure,Fantasy,Action"
207,Total Recall,"Action,Adventure,Science Fiction"
208,The 13th Warrior,"Adventure,Fantasy,Action"
209,The Bourne Legacy,"Action,Thriller"
210,Batman & Robin,"Action,Crime,Fantasy"
211,How the Grinch Stole Christmas,"Family,Comedy,Fantasy"
212,The Day After Tomorrow,"Action,Adventure,Science Fiction,Thriller"
213,Mission: Impossible II,"Adventure,Action,Thriller"
214,The Perfect Storm,Drama
215,Fantastic 4: Rise of the Silver Surfer,"Adventure,Fantasy,Action,Thriller"
216,Life of Pi,"Adventure,Drama,Action"
217,Ghost Rider,"Thriller,Action,Fantasy,Horror"
218,Jason Bourne,"Action,Thriller"
219,Charlie's Angels: Full Throttle,"Action,Adventure,Comedy"
220,Prometheus,"Science Fiction,Adventure,Mystery"
221,Stuart Little 2,"Family,Adventure,Animation,Comedy"
222,Elysium,"Science Fiction,Action,Drama,Thriller"
223,The Chronicles of Riddick,"Action,Science Fiction"
224,RoboCop,"Action,Science Fiction"
225,Speed Racer,"Action,Family,Science Fiction"
226,How Do You Know,"Comedy,Drama,Romance"
227,Knight and Day,"Action,Comedy"
228,Oblivion,"Action,Science Fiction,Adventure,Mystery"
229,Star Wars: Episode III - Revenge of the Sith,"Science Fiction,Adventure,Action"
230,Star Wars: Episode II - Attack of the Clones,"Adventure,Action,Science Fiction"
231,"Monsters, Inc.","Animation,Comedy,Family"
232,The Wolverine,"Action,Science Fiction,Adventure,Fantasy"
233,Star Wars: Episode I - The Phantom Menace,"Adventure,Action,Science Fiction"
234,The Croods,"Adventure,Animation,Comedy,Family,Fantasy"
235,Asterix at the Olympic Games,"Fantasy,Adventure,Comedy,Family"
236,Windtalkers,"Drama,Action,History,War"
237,The Huntsman: Winter's War,"Action,Adventure,Drama"
238,Teenage Mutant Ninja Turtles,"Science Fiction,Action,Adventure,Fantasy,Comedy"
239,Gravity,"Science Fiction,Thriller,Drama"
240,Dante's Peak,"Action,Adventure,Thriller"
241,Teenage Mutant Ninja Turtles: Out of the Shadows,"Fantasy,Action,Adventure,Comedy"
242,Fantastic Four,"Action,Adventure,Science Fiction"
243,Night at the Museum,"Action,Adventure,Comedy,Family,Fantasy"
244,San Andreas,"Action,Drama,Thriller"
245,Tomorrow Never Dies,"Adventure,Action,Thriller"
246,The Patriot,"Drama,History,War,Action"
247,Ocean's Twelve,"Thriller,Crime"
248,Mr. & Mrs. Smith,"Action,Comedy,Drama,Thriller"
249,Insurgent,"Adventure,Science Fiction,Thriller"
250,The Aviator,Drama
251,Gulliver's Travels,Comedy
252,The Green Hornet,"Action,Crime,Comedy"
253,300: Rise of an Empire,"Action,War"
254,The Smurfs,"Animation,Family,Adventure,Comedy,Fantasy"
255,Home on the Range,"Animation,Family"
256,Allegiant,"Adventure,Science Fiction"
257,Real Steel,"Action,Science Fiction,Drama"
258,The Smurfs 2,"Fantasy,Family,Comedy,Animation"
259,Speed 2: Cruise Control,"Action,Adventure,Thriller"
260,Ender's Game,"Science Fiction,Action,Adventure"
261,Live Free or Die Hard,"Action,Thriller"
262,The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action"
263,Around the World in 80 Days,"Action,Adventure,Comedy"
264,Ali,Drama
265,The Cat in the Hat,"Comedy,Fantasy,Family"
266,"I, Robot","Action,Science Fiction"
267,Kingdom of Heaven,"Drama,Action,Adventure,History,War"
268,Stuart Little,"Animation,Fantasy,Family,Comedy"
269,The Princess and the Frog,"Romance,Family,Animation,Music"
270,The Martian,"Drama,Adventure,Science Fiction"
271,The Island,"Action,Thriller,Science Fiction,Adventure"
272,Town & Country,"Comedy,Romance"
273,Gone in Sixty Seconds,"Action,Crime,Thriller"
274,Gladiator,"Action,Drama,Adventure"
275,Minority Report,"Action,Thriller,Science Fiction,Mystery"
276,Harry Potter and the Chamber of Secrets,"Adventure,Fantasy,Family"
277,Casino Royale,"Adventure,Action,Thriller"
278,Planet of the Apes,"Thriller,Science Fiction,Action,Adventure"
279,Terminator 2: Judgment Day,"Action,Thriller,Science Fiction"
280,Public Enemies,"History,Crime,Drama"
281,American Gangster,"Drama,Crime"
282,True Lies,"Action,Thriller"
283,The Taking of Pelham 1 2 3,"Thriller,Drama,Crime"
284,Little Fockers,"Comedy,Romance"
285,The Other Guys,"Action,Comedy,Crime"
286,Eraser,"Action,Drama,Mystery,Thriller"
287,Django Unchained,"Drama,Western"
288,The Hunchback of Notre Dame,"Drama,Animation,Family"
289,The Emperor's New Groove,"Adventure,Animation,Comedy,Family,Fantasy"
290,The Expendables 2,"Action,Adventure,Thriller"
291,National Treasure,"Adventure,Action,Thriller,Mystery"
292,Eragon,"Fantasy,Action,Adventure,Family"
293,Where the Wild Things Are,"Family,Fantasy"
294,Epic,"Animation,Adventure,Family,Fantasy"
295,The Tourist,"Action,Thriller,Romance"
296,End of Days,"Action,Fantasy,Horror,Mystery"
297,Blood Diamond,"Drama,Thriller,Action"
298,The Wolf of Wall Street,"Crime,Drama,Comedy"
299,Batman Forever,"Action,Crime,Fantasy"
300,Starship Troopers,"Adventure,Action,Thriller,Science Fiction"
301,Cloud Atlas,"Drama,Science Fiction"
302,Legend of the Guardians: The Owls of Ga'Hoole,"Animation,Adventure,Family,Fantasy"
303,Catwoman,"Action,Crime"
304,Hercules,"Action,Adventure"
305,Treasure Planet,"Adventure,Animation,Family,Fantasy,Science Fiction"
306,Land of the Lost,"Adventure,Comedy,Science Fiction"
307,The Expendables 3,"Action,Adventure,Thriller"
308,Point Break,"Action,Crime,Thriller"
309,Son of the Mask,"Fantasy,Comedy,Family,Adventure"
310,In the Heart of the Sea,"Thriller,Drama,Adventure,Action,History"
311,The Adventures of Pluto Nash,"Action,Comedy,Science Fiction"
312,Green Zone,"War,Action,Adventure,Drama,Thriller"
313,The Peanuts Movie,Animation
314,The Spanish Prisoner,"Crime,Drama,Mystery,Thriller"
315,The Mummy Returns,"Adventure,Action,Fantasy"
316,Gangs of New York,"Drama,History,Crime"
317,The Flowers of War,"Drama,History,War"
318,Surf's Up,"Animation,Comedy,Family"
319,The Stepford Wives,"Action,Comedy,Science Fiction"
320,Black Hawk Down,"Action,History,War"
321,The Campaign,Comedy
322,The Fifth Element,"Adventure,Fantasy,Action,Thriller,Science Fiction"
323,Sex and the City 2,"Comedy,Drama,Romance"
324,The Road to El Dorado,"Adventure,Animation,Comedy,Family"
325,Ice Age: Continental Drift,"Animation,Comedy,Adventure,Family"
326,Cinderella,"Romance,Fantasy,Family,Drama"
327,The Lovely Bones,"Fantasy,Drama"
328,Finding Nemo,"Animation,Family"
329,The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action"
330,The Lord of the Rings: The Two Towers,"Adventure,Fantasy,Action"
331,Seventh Son,"Adventure,Fantasy"
332,Lara Croft: Tomb Raider,"Adventure,Fantasy,Action,Thriller"
333,Transcendence,"Thriller,Science Fiction,Drama,Mystery"
334,Jurassic Park III,"Adventure,Action,Thriller,Science Fiction"
335,Rise of the Planet of the Apes,"Thriller,Action,Drama,Science Fiction"
336,The Spiderwick Chronicles,"Adventure,Family,Fantasy"
337,A Good Day to Die Hard,"Action,Thriller"
338,The Alamo,"Western,History,War"
339,The Incredibles,"Action,Adventure,Animation,Family"
340,Cutthroat Island,"Action,Adventure"
341,Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Fantasy,Family"
342,Men in Black,"Action,Adventure,Comedy,Science Fiction"
343,Toy Story 2,"Animation,Comedy,Family"
344,Unstoppable,"Action,Thriller"
345,Rush Hour 2,"Action,Comedy,Crime,Thriller"
346,What Lies Beneath,"Drama,Horror,Mystery,Thriller"
347,Cloudy with a Chance of Meatballs,"Animation,Comedy,Family"
348,Ice Age: Dawn of the Dinosaurs,"Animation,Comedy,Family,Adventure"
349,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama,Fantasy"
350,Charlie's Angels,"Action,Adventure,Comedy,Crime,Thriller"
351,The Departed,"Drama,Thriller,Crime"
352,Mulan,"Animation,Family,Adventure"
353,Tropic Thunder,"Action,Comedy"
354,The Girl with the Dragon Tattoo,"Thriller,Crime,Mystery,Drama"
355,Die Hard: With a Vengeance,"Action,Thriller"
356,Sherlock Holmes,"Action,Adventure,Crime,Mystery"
357,Ben-Hur,Drama
358,Atlantis: The Lost Empire,"Animation,Family,Adventure,Science Fiction"
359,Alvin and the Chipmunks: The Road Chip,"Adventure,Animation,Comedy,Family"
360,Valkyrie,"Drama,Thriller,History,War"
361,You Don't Mess with the Zohan,"Comedy,Action"
362,Pixels,"Action,Comedy,Science Fiction"
363,A.I. Artificial Intelligence,"Drama,Science Fiction,Adventure"
364,The Haunted Mansion,"Thriller,Fantasy,Comedy,Family,Mystery"
365,Contact,"Drama,Science Fiction,Mystery"
366,Hollow Man,"Action,Science Fiction,Thriller"
367,The Interpreter,"Crime,Thriller"
368,Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy"
369,Lara Croft Tomb Raider: The Cradle of Life,"Action,Adventure,Fantasy,Thriller"
370,Now You See Me 2,"Action,Adventure,Comedy,Crime,Mystery,Thriller"
371,The Saint,"Thriller,Action,Romance,Science Fiction,Adventure"
372,Spy Game,"Action,Crime,Thriller"
373,Mission to Mars,Science Fiction
374,Rio,"Animation,Adventure,Comedy,Family"
375,Bicentennial Man,"Comedy,Science Fiction"
376,Volcano,"Science Fiction,Action,Drama,Thriller"
377,The Devil's Own,"Crime,Thriller,Drama"
378,K-19: The Widowmaker,"Drama,History,Thriller"
379,Conan the Barbarian,"Adventure,Fantasy,Action"
380,Cinderella Man,"Romance,Drama,History"
381,The Nutcracker: The Untold Story,"Fantasy,Action,Family"
382,Seabiscuit,"Drama,History"
383,Twister,"Action,Adventure,Drama"
384,Cast Away,"Adventure,Drama"
385,Happy Feet,"Animation,Comedy"
386,The Bourne Supremacy,"Action,Drama,Thriller"
387,Air Force One,"Action,Thriller"
388,Ocean's Eleven,"Thriller,Crime"
389,The Three Musketeers,"Adventure,Action,Thriller"
390,Hotel Transylvania,"Animation,Comedy,Family,Fantasy"
391,Enchanted,"Comedy,Family,Fantasy,Romance"
392,Safe House,"Action,Thriller"
393,102 Dalmatians,"Comedy,Family"
394,Tower Heist,"Action,Comedy"
395,The Holiday,"Comedy,Romance"
396,Enemy of the State,"Action,Drama,Thriller"
397,It's Complicated,"Comedy,Romance"
398,Ocean's Thirteen,"Crime,Thriller"
399,Open Season,"Adventure,Animation,Family"
400,Divergent,"Adventure,Action,Science Fiction"
401,Enemy at the Gates,War
402,The Rundown,"Adventure,Action,Comedy,Thriller"
403,Last Action Hero,"Adventure,Fantasy,Action,Comedy,Family"
404,Memoirs of a Geisha,"Drama,History,Romance"
405,The Fast and the Furious: Tokyo Drift,"Action,Crime,Drama,Thriller"
406,Arthur Christmas,"Drama,Animation,Family,Comedy"
407,Meet Joe Black,"Fantasy,Drama,Mystery"
408,Collateral Damage,"Action,Thriller,Drama"
409,All That Jazz,"Drama,Music"
410,Mirror Mirror,"Adventure,Fantasy,Drama,Comedy,Science Fiction,Family"
411,Scott Pilgrim vs. the World,"Action,Adventure,Comedy"
412,The Core,"Action,Thriller,Adventure,Science Fiction"
413,Nutty Professor II: The Klumps,"Fantasy,Comedy,Romance,Science Fiction"
414,Scooby-Doo,"Mystery,Adventure,Comedy"
415,Dredd,"Action,Science Fiction"
416,Click,"Comedy,Drama,Fantasy,Romance"
417,Creepshow,"Horror,Comedy,Fantasy"
418,Cats & Dogs 2 : The Revenge of Kitty Galore,"Comedy,Family"
419,Jumper,"Adventure,Fantasy,Science Fiction"
420,Hellboy II: The Golden Army,"Adventure,Fantasy,Science Fiction"
421,Zodiac,"Crime,Drama,Mystery,Thriller"
422,The 6th Day,Science Fiction
423,Bruce Almighty,"Fantasy,Comedy"
424,The Expendables,"Thriller,Adventure,Action"
425,Mission: Impossible,"Adventure,Action,Thriller"
426,The Hunger Games,"Science Fiction,Adventure,Fantasy"
427,The Hangover Part II,Comedy
428,Batman Returns,"Action,Fantasy"
429,Over the Hedge,"Comedy,Animation,Family"
430,Lilo & Stitch,"Animation,Family"
431,Charlotte's Web,"Comedy,Family,Fantasy"
432,Deep Impact,"Action,Drama,Romance"
433,RED 2,"Action,Comedy,Crime,Thriller"
434,The Longest Yard,"Comedy,Drama"
435,Alvin and the Chipmunks: Chipwrecked,"Comedy,Fantasy,Family,Music,Animation"
436,Grown Ups 2,Comedy
437,Get Smart,"Action,Comedy,Thriller"
438,Something's Gotta Give,"Drama,Comedy,Romance"
439,Shutter Island,"Drama,Thriller,Mystery"
440,Four Christmases,"Comedy,Romance,Drama"
441,Robots,"Animation,Comedy,Family,Science Fiction"
442,Face/Off,"Action,Crime,Science Fiction,Thriller"
443,Bedtime Stories,"Fantasy,Comedy,Family,Romance"
444,Road to Perdition,"Thriller,Crime,Drama"
445,Just Go with It,"Romance,Comedy"
446,Con Air,"Action,Thriller,Crime"
447,Eagle Eye,"Mystery,Thriller,Action"
448,Cold Mountain,Drama
449,The Book of Eli,"Action,Thriller,Science Fiction"
450,Flubber,"Comedy,Family,Science Fiction"
451,The Haunting,"Horror,Thriller,Fantasy,Mystery"
452,Space Jam,"Animation,Comedy,Drama,Family,Fantasy"
453,The Pink Panther,"Action,Comedy,Crime,Mystery,Family"
454,The Day the Earth Stood Still,"Drama,Science Fiction,Thriller"
455,Conspiracy Theory,"Action,Drama,Mystery,Thriller"
456,Fury,"War,Drama,Action"
457,Six Days Seven Nights,"Action,Adventure,Comedy,Romance"
458,Yogi Bear,"Comedy,Family,Animation,Adventure"
459,Spirit: Stallion of the Cimarron,"Western,Animation,Adventure,Comedy,Family"
460,Zookeeper,"Comedy,Romance,Family"
461,Lost in Space,"Adventure,Family,Science Fiction"
462,The Manchurian Candidate,"Drama,Thriller,Mystery"
463,Déjà Vu,"Romance,Drama"
464,Hotel Transylvania 2,"Animation,Comedy,Family"
465,Fantasia 2000,"Animation,Family,Music"
466,The Time Machine,"Science Fiction,Adventure,Action"
467,Mighty Joe Young,"Action,Adventure,Family,Fantasy"
468,Swordfish,"Action,Crime,Thriller"
469,The Legend of Zorro,"Action,Adventure"
470,What Dreams May Come,"Drama,Fantasy,Romance"
471,Little Nicky,"Comedy,Fantasy,Romance"
472,The Brothers Grimm,"Adventure,Fantasy,Action,Comedy,Thriller"
473,Mars Attacks!,"Comedy,Fantasy,Science Fiction"
474,Evolution,"Mystery,Drama,Horror"
475,The Edge,"Action,Adventure,Drama"
476,Surrogates,"Action,Science Fiction,Thriller"
477,Thirteen Days,"Drama,Thriller"
478,Daylight,"Action,Adventure,Thriller"
479,Walking With Dinosaurs,"Animation,Family,Adventure"
480,Battlefield Earth,"Action,Science Fiction,War"
481,Looney Tunes: Back in Action,"Animation,Comedy,Family"
482,Nine,"Drama,Music,Romance"
483,Timeline,"Action,Adventure,Science Fiction"
484,The Postman,"Drama,Adventure"
485,Babe: Pig in the City,"Adventure,Comedy,Drama,Family,Fantasy"
486,The Last Witch Hunter,"Fantasy,Action,Adventure"
487,Red Planet,"Thriller,Action,Science Fiction"
488,Arthur and the Invisibles,"Adventure,Fantasy,Animation,Family"
489,Oceans,"Documentary,Family"
490,A Sound of Thunder,"Thriller,Science Fiction,Adventure,Action"
491,Pompeii,"Action,Adventure,History,Romance,Drama"
492,Top Cat Begins,"Comedy,Animation"
493,A Beautiful Mind,"Drama,Romance"
494,The Lion King,"Family,Animation,Drama"
495,Journey 2: The Mysterious Island,"Adventure,Action,Science Fiction"
496,Cloudy with a Chance of Meatballs 2,"Animation,Family,Comedy"
497,Red Dragon,"Crime,Thriller,Horror"
498,Hidalgo,"Western,Adventure"
499,Jack and Jill,Comedy
500,2 Fast 2 Furious,"Action,Crime,Thriller"
501,The Little Prince,"Adventure,Animation,Fantasy"
